"Proxy","Platform","MetadataTransactionId","AccessToken","IsSuggestedRelease","ImageVersion","OperatingPlatform","ImageGuid","SoftwareAdvisory","DeferralNotice","RelatedImage","ImageName","ImageSize","ImageDescription","FeatureSetDescription","MinDram","MinFlash","EncryptionSoftwareIndicator","ImageChecksums","ImageLevelDocs","AsdImageException","IsDeleted","DeletedDate","MigrationReleaseVersion","MigrationTargetRetirementDate","MigrationReleaseLifeCycle"
,"Cisco.Ucs.ASD.Platform","515642309","kpfKRjwEDtq6f7w9YKI2O0wOy3H6","Y","4.2(1l)",,"D572F5118D796D4353E06889D4A50701E1DE0479",,,"Y","ucs-6400-k9-bundle-infra.4.2.1l.A.bin","2166656204","The UCS Infrastructure Software Bundle contains: - NX-OS software for the UCS 6454 Fabric Interconnects - Firmware for the fabric extenders and I/O modules - UCS Manager - Chassis Management Controller - UCSM Capability Catalog.",,,,"N","[md5_checksum = 6f024056a0da0d6905865868b4fd4482, sha512_checksum = 5966a0f7ff1e477cf197ef811ee9fed55e48bf58d6d10f1de932d30bfc5cf31a3e433e88960518cf666c6763732a77b1995d67f122b852945babac89caa8e9c5]","System.String[]","Cisco.Ucs.ASD.AsdImageException[]","N",,,,
,"Cisco.Ucs.ASD.Platform","515642268","kpfKRjwEDtq6f7w9YKI2O0wOy3H6","Y","4.2(1l)",,"0FE14C4AD8557840A2B3630D850C8ED3A825B216",,,"Y","ucs-k9-bundle-infra.4.2.1l.A.bin","1116067060","The UCS Infrastructure Software Bundle contains: - NX-OS software for the UCS 6200 Fabric Interconnects - Firmware for the fabric extenders and I/O modules - UCS Manager - Chassis Management Controller - UCSM Capability Catalog.",,,,"N","[md5_checksum = 25230f5141bef311633ace2e5a937ffd, sha512_checksum = 9a830ab803e20a57e8fd39a74bc833eeb2a6c8cc597201c6d0edff97e727097385486e35bfb8ad6bbfc7f32dbffd9d244f279b16bcaf42c01723ba5ed14af70e]","System.String[]","Cisco.Ucs.ASD.AsdImageException[]","N",,,,
,"Cisco.Ucs.ASD.Platform","515643166","kpfKRjwEDtq6f7w9YKI2O0wOy3H6","Y","4.2(1l)",,"843C5FC051137C7E8734F104D860A76972A14DA9",,,"N","ucs-k9-bundle-b-series.4.2.1l.B.bin","741480976","Software for the UCS B-Series blade server products",,,,"N","[md5_checksum = d39d2747fcce5eac10f25afd95ab2048, sha512_checksum = 60ad7fc8685101c66f0bc1ee138a4a0f1c3a90fe3f6b0b55f5cc8c137b4992fedd4e2cc47a041f25bab797e2910bf8eccff870130d1c23b81e5369578e9c8b6a]","System.String[]","Cisco.Ucs.ASD.AsdImageException[]","N",,,,
,"Cisco.Ucs.ASD.Platform","515642309","kpfKRjwEDtq6f7w9YKI2O0wOy3H6","Y","4.2(1l)",,"D2E02F567F7879691BB7E753C8DD3F04A65473F4",,,"Y","ucs-6300-k9-bundle-infra.4.2.1l.A.bin","1425478874","The UCS Infrastructure Software Bundle contains: - NX-OS software for the UCS 6332 Fabric Interconnects - Firmware for the fabric extenders and I/O modules - UCS Manager - Chassis Management Controller - UCSM Capability Catalog.",,,,"N","[md5_checksum = f14016ec8fddd2ef4caf4f9a8195d317, sha512_checksum = 9e6bc8f59a4c3e8932efd3ced8e67e45598d0cb9cea2ac6f98b4cc985e5b852db37fc8ce8862d315a88b65d71bfcb63b7cc1a41574012f414459dc2aa9b8c3ff]","System.String[]","Cisco.Ucs.ASD.AsdImageException[]","N",,,,
,"Cisco.Ucs.ASD.Platform","515642278","kpfKRjwEDtq6f7w9YKI2O0wOy3H6","Y","4.2(1l)",,"2F371AF7E5C550B697663353AD2B7FED5C1F4166",,,"Y","ucs-mini-k9-bundle-infra.4.2.1l.A.bin","1166421392","The UCS Infrastructure Software Bundle contains: - NX-OS software for the UCS 6324 Fabric Interconnects - Firmware for the fabric extenders and I/O modules - UCS Manager - Chassis Management Controller - UCSM Capability Catalog.",,,,"N","[md5_checksum = a17f4e1c84794664abbac2bc509855e9, sha512_checksum = a7a5bb8dce1fa4a8102c3652836a207cb715a891f2763bc5b2ec65c234b1ba0dd15e614fdcdee39815630f28d1a550ca98e073c02a98f18799ff02d5d43791aa]","System.String[]","Cisco.Ucs.ASD.AsdImageException[]","N",,,,
,"Cisco.Ucs.ASD.Platform","515642262","kpfKRjwEDtq6f7w9YKI2O0wOy3H6","Y","4.2(1l)",,"01B90BD5C2FBC069FC19D2548D7510C9A1F2A97E",,,"Y","ucs-k9-bundle-c-series.4.2.1l.C.bin","2054342447","Software for the UCS C-Series rack-mounted servers. This is software for UCS Manager based C-Series management.",,,,"N","[md5_checksum = 5db27850c26975fae8ddd6c13f339a5a, sha512_checksum = b9963163b0a69d55bc7c27b0e4ac034449d1149496e0130fa1d2ad7cd71422fbd40eab0217cdceb2b52d95f5646198275a6555dc7a2ed4bc78217c09314f23cd]","System.String[]","Cisco.Ucs.ASD.AsdImageException[]","N",,,,
,"Cisco.Ucs.ASD.Platform","515642318","kpfKRjwEDtq6f7w9YKI2O0wOy3H6","N","4.1(3h)",,"FB1D948FB3C9B9F399A5317FC767175593FB69FD",,,"Y","ucs-6300-k9-bundle-infra.4.1.3h.A.bin","1311490290","The UCS Infrastructure Software Bundle contains: - NX-OS software for the UCS 6332 Fabric Interconnects - Firmware for the fabric extenders and I/O modules - UCS Manager - Chassis Management Controller - UCSM Capability Catalog.",,,,"N","[md5_checksum = 522a7abd64c406687a37cc379ccfbdec, sha512_checksum = 4c3c61b17b91d54f71a349b130c8e0ba24c3ecedbf1564faf5aa35c4a51f7090fd909884a61a18330b1d7b9635874dc2b13100263c8242b90524b7634dea2f7e]","System.String[]","Cisco.Ucs.ASD.AsdImageException[]","N",,,,
,"Cisco.Ucs.ASD.Platform","515642262","kpfKRjwEDtq6f7w9YKI2O0wOy3H6","N","4.1(3h)",,"08694242CB75A00651FC7F0C15BEF6E40EA2CAAC",,,"N","ucs-k9-bundle-b-series.4.1.3h.B.bin","749777692","Software for the UCS B-Series blade server products",,,,"N","[md5_checksum = 4dc24b560219db2f742d2cc01a578368, sha512_checksum = 10355575eb8a260a6f48eb11be496fe7010d9ef0e40796072faf4af49238a22caa7d6dfd52789cc7e81bb6cfcbe39417b3f897e3a374431acccbdcbd649b35f5]","System.String[]","Cisco.Ucs.ASD.AsdImageException[]","N",,,,
,"Cisco.Ucs.ASD.Platform","515642291","kpfKRjwEDtq6f7w9YKI2O0wOy3H6","N","4.1(3h)",,"71D03FEBDED5F65268BDF7AB2AD72569CE180A0D",,,"Y","ucs-6400-k9-bundle-infra.4.1.3h.A.bin","2110322368","The UCS Infrastructure Software Bundle contains: - NX-OS software for the UCS 6454 Fabric Interconnects - Firmware for the fabric extenders and I/O modules - UCS Manager - Chassis Management Controller - UCSM Capability Catalog.",,,,"N","[md5_checksum = 7b83968a4bb48fea5261b9ecb337251b, sha512_checksum = 6ba9ad59dcdd873a33c0667aef9eaeee41be0404c833c1c2c0e46425c605848eb600a6a0282f776beb86a860b04dcbfa871e00598e0491746339295b55587993]","System.String[]","Cisco.Ucs.ASD.AsdImageException[]","N",,,,
,"Cisco.Ucs.ASD.Platform","515642301","kpfKRjwEDtq6f7w9YKI2O0wOy3H6","N","4.1(3h)",,"B35C1D57DD01D6CF22071BA9FF4FE094B56F3B97",,,"Y","ucs-k9-bundle-infra.4.1.3h.A.bin","1054784531","The UCS Infrastructure Software Bundle contains: - NX-OS software for the UCS 6200 Fabric Interconnects - Firmware for the fabric extenders and I/O modules - UCS Manager - Chassis Management Controller - UCSM Capability Catalog.",,,,"N","[md5_checksum = 53fc51d29308e83996cd0d610824e854, sha512_checksum = 5bb5ce06b219f5e0cdc540c306d1022486e6a73e7837c3f96aa44f7c349f15c15892f95a372827e798b29bada61eeba5b0f7f7867c039d22ad9e9ab597528651]","System.String[]","Cisco.Ucs.ASD.AsdImageException[]","N",,,,
